,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,balance_wy_diff_post,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_allocations,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,log_pp_pta_end_balance,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_budget,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
10,01M184,P.S. 184m Shuang Wen,2019,01,K-8 School,678.0,M,True,0.69,0.04,0.131,0.063,0.075,0.06400000000000006,0.161,0.146,68.0%,67.2%,0.672,11180270.0,6749795.0,4430475.0,11180270.0,111622.74,80660.96,106834.57,137796.35,Active,1.0,,,,none,2.9103830456733704e-11,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,9955.449852507374,6534.623893805309,16490.073746312686,164.63530973451327,118.96896755162243,157.5731120943953,203.23945427728614,5.333759217927237,1.1950134781871153,0.7214580685439619,Q2,Q5,Q5,Q5
11,01M188,P.S. 188 The Island School,2019,01,K-8 School,407.0,M,True,0.015,0.329,0.612,0.007,0.037,0.007000000000000055,0.364,0.074,Above 95%,Above 95%,0.95,9832950.0,5469862.0,4363088.0,9832950.0,3485.38,277.45,34.8538,3207.93,Active,1.0,,,,start_balance_div100,34.85380000000032,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13439.464373464374,10720.117936117937,24159.58230958231,8.563587223587223,0.6816953316953317,0.08563587223587224,7.881891891891891,2.4729957959877704,0.005072340033441428,0.0028216354196858523,Q5,Q2,Q1,Q4
12,01M292,Orchard Collegiate Academy,2019,01,Senior High School,197.0,M,True,0.096,0.269,0.569,0.036,0.03,0.03600000000000003,0.289,0.117,82.7%,87.5%,0.875,4644494.0,2937090.0,1707404.0,4644494.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14909.086294416244,8667.02538071066,23576.111675126904,,,,,,,,Q4,,,
13,01M315,The East Village Community School,2019,01,Elementary School,333.0,M,True,0.096,0.045,0.231,0.054,0.574,0.05400000000000002,0.162,0.015,28.2%,34.9%,0.349,5140026.0,3366010.0,1774016.0,5140026.0,231777.51,142160.57,1145.3064,89616.94,Active,1.0,,,,start_balance_div100,1145.3064000000013,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10108.138138138138,5327.375375375375,15435.513513513513,696.0285585585586,426.9086186186186,3.4393585585585584,269.11993993993997,5.609823255919303,4.223414963116569,2.765755854153267,Q1,Q5,Q5,Q5
14,01M332,University Neighborhood Middle School,2019,01,Middle/Junior High School,209.0,M,True,0.086,0.196,0.627,0.01,0.081,0.01000000000000005,0.45,0.033,84.2%,81.6%,0.816,6279521.0,3143404.0,3136117.0,6279521.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15040.21052631579,15005.344497607655,30045.555023923444,,,,,,,,Q3,,,
15,01M361,The Children's Workshop School,2019,01,Elementary School,320.0,M,True,0.097,0.103,0.397,0.053,0.35,0.05300000000000002,0.253,0.034,49.1%,53.4%,0.534,5584670.0,3447795.0,2136875.0,5584670.0,134233.0,109943.0,92439.0,116729.0,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10774.359375,6677.734375,17452.09375,419.478125,343.571875,288.871875,364.778125,5.910130163736105,3.1887916769993576,1.9686570558332006,Q1,Q5,Q5,Q5
16,01M363,Neighborhood School,2019,01,Elementary School,306.0,M,True,0.069,0.088,0.376,0.046,0.422,0.04500000000000004,0.235,0.013,41.2%,46.0%,0.46,5238230.0,3131112.0,2107118.0,5238230.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10232.392156862745,6886.006535947712,17118.398692810457,,,,,,,,Q1,,,
17,01M364,Earth School,2019,01,Elementary School,350.0,M,True,0.071,0.109,0.403,0.08,0.337,0.07999999999999997,0.291,0.06,56.6%,57.9%,0.579,6196400.0,3703626.0,2492774.0,6196400.0,116000.0,106689.0,121777.0,131088.0,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10581.788571428571,7122.211428571429,17704.0,331.42857142857144,304.8257142857143,347.9342857142857,374.53714285714284,5.93625086371422,2.8806634363188937,1.7217900716545091,Q1,Q5,Q5,Q5
18,01M378,School for Global Leaders,2019,01,Middle/Junior High School,250.0,M,True,0.128,0.236,0.564,0.032,0.04,0.032000000000000056,0.388,0.1,85.2%,84.9%,0.8490000000000001,5666067.0,3883534.0,1782533.0,5666067.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15534.136,7130.132,22664.268,,,,,,,,Q4,,,
19,01M448,University Neighborhood High School,2019,01,Senior High School,483.0,M,True,0.369,0.195,0.381,0.01,0.046,0.008999999999999952,0.17,0.147,87.2%,82.8%,0.828,7360217.0,5095198.0,2265019.0,7360217.0,0.0,0.0,521.55,521.55,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10549.064182194617,4689.48033126294,15238.544513457557,0.0,0.0,1.0798136645962733,1.0798136645962733,1.620543885814165,0.0,0.0,Q3,Q1,Q1,Q2
