,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
103,103,02M419,Landmark High School,2019,2.0,Senior High School,330.0,M,True,0.03,0.333,0.591,0.021,0.024,0.022,0.224,0.055,81.5%,82.7%,0.8270000000000001,5544876.0,3952132.0,1592744.0,5544876.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11976.157575757576,4826.496969696969,16802.654545454545,,,,,,,,,Q3,,,
113,113,02M449,Vanguard High School,2019,2.0,Senior High School,427.0,M,True,0.056,0.251,0.583,0.042,0.068,0.042,0.246,0.03,73.8%,76.3%,0.763,7030401.0,5009595.0,2020806.0,7030401.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11732.072599531615,4732.56674473068,16464.639344262294,,,,,,,,,Q3,,,
119,119,02M519,Talent Unlimited High School,2019,2.0,Senior High School,518.0,M,True,0.035,0.293,0.432,0.118,0.122,0.118,0.141,0.01,56.9%,53.3%,0.5329999999999999,7434106.0,6223684.0,1210422.0,7434106.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,12014.833976833976,2336.7220077220077,14351.555984555984,,,,,,,,,Q1,,,
127,127,02M543,New Design High School,2019,2.0,Senior High School,426.0,M,True,0.052,0.34,0.575,0.016,0.016,0.0169999999999999,0.263,0.054,78.2%,83.9%,0.8390000000000001,6940480.0,5309164.0,1631316.0,6940480.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,12462.826291079811,3829.3802816901407,16292.206572769954,,,,,,,,,Q3,,,
149,149,03M076,P.S. 076 A. Philip Randolph,2019,3.0,K-8 School,443.0,M,True,0.002,0.734,0.23,0.007,0.027,0.007,0.253,0.077,Above 95%,90.8%,0.908,8516898.0,4319291.0,4197607.0,8516898.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,9750.092550790068,9475.410835214449,19225.503386004515,,,,,,,,,Q4,,,
156,156,03M166,P.S. 166 The Richard Rodgers School of The Arts an,2019,3.0,Elementary School,638.0,M,True,0.124,0.042,0.168,0.094,0.572,0.0939999999999999,0.089,0.024,15.7%,15.2%,0.152,7810336.0,5554625.0,2255711.0,7810336.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,8706.308777429467,3535.5971786833857,12241.905956112852,,,,,,,,,Q1,,,
165,165,03M247,M.S. M247 Dual Language Middle School,2019,3.0,Middle/Junior High School,220.0,M,True,0.009,0.014,0.955,0.0,0.023,-0.0009999999999999,0.264,0.25,90.5%,85.4%,0.8540000000000001,3952222.0,3087506.0,864716.0,3952222.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14034.11818181818,3930.5272727272727,17964.645454545454,,,,,,,,,Q4,,,
189,189,03M862,Mott Hall II,2019,3.0,Middle/Junior High School,428.0,M,True,0.028,0.257,0.498,0.056,0.161,0.0559999999999999,0.241,0.037,65.0%,62.2%,0.622,6459379.0,5109527.0,1349852.0,6459379.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11938.147196261682,3153.8598130841124,15092.007009345794,,,,,,,,,Q2,,,
198,198,04M102,P.S. 102 Jacques Cartier,2019,4.0,Elementary School,265.0,M,True,0.094,0.306,0.491,0.057,0.053,0.0559999999999999,0.302,0.102,Above 95%,83.7%,0.8370000000000001,7288705.0,2988613.0,4300092.0,7288705.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11277.784905660375,16226.762264150944,27504.54716981132,,,,,,,,,Q3,,,
202,202,04M155,P.S. 155 William Paca,2019,4.0,Elementary School,248.0,M,True,0.008,0.097,0.855,0.036,0.004,0.036,0.347,0.383,Above 95%,Above 95%,0.95,6695420.0,2953453.0,3741967.0,6695420.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11909.084677419354,15088.576612903224,26997.66129032258,,,,,,,,,Q5,,,
