,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
701,P.S. 147 Isaac Remsen,2019,5862949.0,40979.38,1024499.0,17650.11,True,,False,True,False,False,False,True,False,False,False,True,True,True,True
726,"Magnet School of Math, Science and Design Technolo",2019,943960.31,962541.67,568903.65,550322.29,False,,False,True,False,False,False,False,False,False,False,True,False,True,True
729,P.S. 029 John M. Harrigan,2019,1733654.0,1657418.0,604229.0,680465.0,False,,False,True,False,False,False,False,False,False,False,True,False,True,True
741,P.S. 131 Brooklyn,2019,25962.45,24059.89,10670.2,1902.56,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
743,"The Brooklyn New School, P.S. 146",2019,274238.41,273479.34,46553.29,196404.98,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
744,The Windsor Terrace School,2019,299754.79,346975.31,462931.46,401643.67,False,,False,True,False,False,False,False,False,False,False,True,False,True,True
745,P.S. 169 Sunset Park,2019,1931034.0,16487.08,8315.93,2820.26,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
748,P.S. 261 Philip Livingston,2019,373279.36,309775.86,0.0,83916.71,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
838,Medgar Evers College Preparatory School,2019,39736.0,29261.0,10394.93,1039493.0,True,,False,False,False,False,True,False,False,False,False,True,False,True,True
859,P.S. 276 Louis Marshall,2019,16574.1,0.0,2149.48,5170.58,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
879,P.S. 007 Abraham Lincoln,2019,5476.7,6272.06,2990.07,2194.71,False,,False,False,False,False,False,False,False,True,False,False,True,True,True
