,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
182,182,03M485,Fiorello H. LaGuardia High School of Music & Art a,2019,3.0,Senior High School,2760.0,M,True,0.197,0.099,0.17,0.084,0.45,0.0839999999999999,0.037,0.002,29.2%,30.4%,0.304,30304114.0,27408674.0,2895440.0,30304114.0,746725.89,741105.29,746725.89,5620.6,Active,1.0,,,,unresolvable,752346.49,746725.89,132.85519161655338,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,9930.678985507246,1049.072463768116,10979.751449275362,270.55285869565216,268.51640942028985,270.55285869565216,2.036449275362319,11248.267858695652,2.70390785778254,2.44555999888332,2.3871800777993477,Q1,Q5,Q5,Q2
298,298,07X031,P.S./M.S. 031 The William Lloyd Garrison,2019,7.0,K-8 School,716.0,X,True,0.031,0.264,0.661,0.011,0.034,0.0099999999999999,0.226,0.131,90.2%,92.0%,0.92,12728188.0,7245249.0,5482939.0,12728188.0,464423.0,3320.06,3058.0,15862.0,Active,1.0,,,,unresolvable,464160.94,448298.94,28.262447358466776,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10119.062849162012,7657.736033519553,17776.798882681564,648.6354748603352,4.6369553072625695,4.270949720670391,22.1536312849162,17781.435837988825,0.0458239599494786,0.0260843098797723,0.026077507741844,Q5,Q5,Q2,Q4
361,361,08X333,The Longwood Academy of Discovery,2019,8.0,Elementary School,625.0,X,True,0.005,0.198,0.763,0.006,0.027,0.007,0.318,0.213,Above 95%,94.0%,0.94,12349610.0,6767220.0,5582390.0,12349610.0,3573071.0,3570.0,2171071.0,0.71,Active,1.0,,,,unresolvable,5740572.0,5740571.29,8085311.676056339,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,10827.552,8931.824,19759.376,5716.9136,5.712,3473.7136,0.0011359999999999,19765.088,0.0527543067906762,0.0289077954688447,0.0288994412774686,Q5,Q5,Q2,Q1
476,476,10X094,P.S. 094 Kings College School,2019,10.0,Elementary School,1220.0,X,True,0.086,0.156,0.696,0.025,0.038,0.024,0.243,0.255,93.4%,92.4%,0.924,22756631.0,13100204.0,9656427.0,22756631.0,0.0,105.0,3132.03,33027.03,Active,1.0,,,,unresolvable,3027.03,30000.0,0.9083468904106728,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10737.87213114754,7915.104098360655,18652.976229508196,0.0,0.0860655737704918,2.567237704918033,27.07133606557377,18653.062295081967,0.0008015142359615,0.0004614039749556,0.0004614018460292,Q5,Q1,Q1,Q4
542,542,11X076,P.S. 076 The Bennington School,2019,11.0,Elementary School,893.0,X,True,0.053,0.433,0.437,0.012,0.065,0.0119999999999999,0.189,0.16,78.5%,83.6%,0.836,14641622.0,8858032.0,5783590.0,14641622.0,17354.46,1447757.0,815.46,2876.89,Active,1.0,,,,unresolvable,-1429587.08,1432463.97,497.9210084500972,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9919.408734602464,6476.584546472564,16395.99328107503,19.43388577827547,1621.2284434490482,0.9131690929451288,3.2216013437849944,18017.221724524075,16.344002821394188,9.887955036675582,8.998215530879097,Q3,Q3,Q5,Q3
584,584,11X481,The STEAM Bridge School,2019,11.0,Elementary School,216.0,X,True,0.093,0.116,0.625,0.028,0.139,0.0269999999999999,0.167,0.324,89.8%,85.4%,0.8540000000000001,3562549.0,2683696.0,878853.0,3562549.0,2998.59,584.32,1309.59,241427.0,Active,1.0,,,,unresolvable,3723.86,237703.14,0.9845756274153264,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,12424.518518518518,4068.7638888888887,16493.28240740741,13.882361111111113,2.7051851851851856,6.062916666666666,1117.7175925925926,16495.987592592595,0.0217729578909086,0.0164017393164276,0.016399049587064,Q4,Q3,Q2,Q5
649,649,13K011,P.S. 011 Purvis J. Behan,2019,13.0,Elementary School,894.0,K,True,0.025,0.611,0.136,0.089,0.139,0.089,0.11,0.013,40.4%,45.1%,0.451,10220839.0,7349001.0,2871838.0,10220839.0,1046661.4,865775.97,17196623.0,180885.43,Active,1.0,,,,unresolvable,17377508.43,17196623.0,95.06914404327644,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,8220.359060402685,3212.346756152125,11432.70581655481,1170.762192393736,968.4294966442952,19235.59619686801,202.33269574944072,12401.135313199104,11.780866134050056,8.470693746374442,7.809200304536236,Q1,Q5,Q5,Q5
696,696,14K084,P.S. 084 Jose De Diego,2019,14.0,K-8 School,764.0,K,True,0.034,0.059,0.611,0.052,0.243,0.053,0.186,0.124,49.9%,58.1%,0.581,15545982.0,7809792.0,7736190.0,15545982.0,115971.35,109480.12,84987.46,78496.23,Active,1.0,,,,unresolvable,91478.69,12982.460000000006,0.1653895989654535,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10222.240837696336,10125.903141361256,20348.143979057593,151.7949607329843,143.29858638743454,111.24013089005236,102.74375654450262,20491.442565445028,1.4018314444225914,0.7042341873289188,0.6993094113787808,Q1,Q5,Q5,Q5
701,701,14K147,P.S. 147 Isaac Remsen,2019,14.0,Elementary School,360.0,K,True,0.053,0.181,0.569,0.067,0.131,0.066,0.192,0.125,71.1%,73.4%,0.7340000000000001,6982740.0,3874467.0,3108273.0,6982740.0,5862949.0,40979.38,1024499.0,17650.11,Active,1.0,,,,unresolvable,6846468.62,6828818.51,386.89948731197705,True,,,,,False,True,False,False,False,True,False,False,False,True,True,True,True,10762.408333333333,8634.091666666667,19396.5,16285.969444444445,113.8316111111111,2845.8305555555557,49.028083333333335,19510.331611111113,1.0576778689817206,0.5868667600397551,0.5834427286017227,Q2,Q5,Q5,Q5
741,741,15K131,P.S. 131 Brooklyn,2019,15.0,Elementary School,938.0,K,True,0.35,0.011,0.547,0.009,0.084,0.0079999999999999,0.204,0.309,86.6%,90.8%,0.908,15159261.0,9899852.0,5259409.0,15159261.0,25962.45,24059.89,10670.2,1902.56,Active,1.0,,,,unresolvable,12572.760000000002,10670.200000000004,5.608338239004291,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10554.213219616204,5607.045842217484,16161.259061833687,27.678518123667377,25.650202558635392,11.37547974413646,2.028315565031983,16186.909264392323,0.2430328251371838,0.1587141352075144,0.1584626326105395,Q4,Q3,Q3,Q2
